# {
#     "changing_threshold": 0.1,
#     "command": "/SAN/vyplab/alb_projects/pipelines/splicing/env/bin/voila tsv /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/builder/splicegraph.sql /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/delta_psi/Control6-TDP43KD6.deltapsi.voila -f /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/delta_psi_voila_tsv/Control6-TDP43KD6.psi.tsv --threshold 0.1",
#     "group_sizes": {
#         "Control6": 4,
#         "TDP43KD6": 4
#     },
#     "non_changing_threshold": 0.05,
#     "voila_version": "2.3"
# }
gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	Control6_mean_psi	TDP43KD6_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
MTMR7	ENSG00000003987.14	ENSG00000003987.14:t:17372995-17373240	-0.1263;0.1263	5.564e-01;5.564e-01	3.841e-02;3.841e-02	0.7743;0.2257	0.6336;0.3664	t|1e1.1o1|1e2.1o1	2	3	0;1	chr8	-	17373240-17413269;17373240-17406945	17372995-17373240;17406945-na;17413269-17413528		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A17413528-17372995
ANLN	ENSG00000011426.11	ENSG00000011426.11:t:36419244-36419479	0.1262;-0.1262	7.055e-01;7.055e-01	2.523e-02;2.523e-02	0.3461;0.6539	0.4731;0.5269	t|1e1.1o1|1e2.1o1	2	3	0;0	chr7	+	36415884-36419244;36417190-36419244	36415758-36415885;36417080-36417190;36419244-36419479		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A36419479-36415758
EXTL3	ENSG00000012232.9	ENSG00000012232.9:s:28701501-28701659	0.1069;-0.0368;-0.0477	5.622e-01;9.923e-02;8.524e-02	5.609e-02;3.518e-01;3.612e-01	0.7726;0.1445;0.0836	0.8981;0.0848;0.0177	s|1e1.1o1|1e2.1o1|1e3.1o1	3	4	0;1;1	chr8	+	28701659-28713457;28701659-28715585;28701659-28731223	28701501-28701659;28713457-28713580;28715585-28716066;28731223-28731350		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A28731350-28701501
MAP4K5	ENSG00000012983.12	ENSG00000012983.12:s:50440013-50440073	-0.1978;0.1978	9.427e-01;9.427e-01	1.709e-03;1.709e-03	0.9262;0.0738	0.7259;0.2741	s|1e1.1o1|1e2.1o1	2	3	0;1	chr14	-	50438094-50440013;50438008-50440013	50437894-50438008;50438092-50438401;50440013-50440073		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr14%3A50440073-50437894
MAP4K5	ENSG00000012983.12	ENSG00000012983.12:t:50437894-50438008	0.1833;-0.1833	9.248e-01;9.248e-01	2.803e-03;2.803e-03	0.0689;0.9311	0.2559;0.7441	t|1e1.1o1|1e2.1o1	2	3	1;0	chr14	-	50438008-50440013;50438008-50438092	50437894-50438008;50438092-50438401;50440013-50440073		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr14%3A50440073-50437894
MVP	ENSG00000013364.19	ENSG00000013364.19:s:29820394-29820510	-0.0000;-0.0000;0.0142;0.0979;-0.0000;-0.0000;-0.1276	6.268e-21;6.268e-21;1.187e-02;4.992e-01;6.268e-21;6.268e-21;6.607e-01	1.000e+00;1.000e+00;6.017e-01;7.210e-02;1.000e+00;1.000e+00;3.472e-02	0.0009;0.0009;0.0263;0.1760;0.0009;0.0009;0.7902	0.0008;0.0008;0.0591;0.2954;0.0008;0.0008;0.6402	s|1e1.1o1|1e2.1o1|1e3.1o3|1e3.2o3|1e3.3o3|1e4.1o1|i	7	5	1;0;0;0;1;1;1	chr16	+	29820510-29824927;29820510-29825942;29820510-29830474;29820510-29830515;29820510-29830542;29820510-29830878;29820511-29821323	29820394-29820510;29824927-na;29825942-29826092;29830474-29830675;29830878-29831074	29820511-29821323	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr16%3A29831074-29820394
XYLT2	ENSG00000015532.10	ENSG00000015532.10:s:50356511-50356773	-0.0888;-0.0002;0.1040	4.310e-01;3.361e-06;5.117e-01	8.882e-02;9.903e-01;6.347e-02	0.8697;0.0153;0.1129	0.7569;0.0021;0.2406	s|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;0;0	chr17	+	50356773-50357057;50356773-50357118;50356773-50358207	50356511-50356773;50357057-50358066;50358207-50358540		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A50358540-50356511
ADGRA2	ENSG00000020181.18	ENSG00000020181.18:s:37796883-37797872	0.1099;-0.0131;-0.0860	5.829e-01;1.769e-02;4.037e-01	5.112e-02;6.086e-01;9.687e-02	0.7911;0.0841;0.1245	0.9093;0.0541;0.0336	s|1e2.1o1|1e3.2o2|2e1.1o1	3	4	0;1;1	chr8	+	37797534-37814896;37797534-37828888;37797872-37797994	37796883-37797872;37797994-na;37814896-37814967;37828669-37828959		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A37828959-37796883
B4GALT7	ENSG00000027847.14	ENSG00000027847.14:s:177604066-177604541	-0.1246;-0.0098;0.1465	6.657e-01;3.240e-03;7.947e-01	3.025e-02;7.128e-01;1.332e-02	0.1714;0.0450;0.7786	0.0471;0.0234;0.9302	s|1e1.1o1|1e2.1o2|1e2.2o2	3	3	0;0;0	chr5	+	177604541-177605045;177604541-177607283;177604541-177607302	177604066-177604541;177605045-177605224;177605791-177607357		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr5%3A177607357-177604066
ANK1	ENSG00000029534.21	ENSG00000029534.21:s:41684544-41684690	-0.1084;0.0024;0.0831	5.356e-01;7.874e-04;4.109e-01	5.505e-02;9.031e-01;9.514e-02	0.7632;0.0026;0.2341	0.6168;0.0251;0.3469	s|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;0;0	chr8	-	41672912-41684544;41672529-41684544;41672426-41684544	41672354-41672426;41672516-41672912;41684544-41684690		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr8%3A41684690-41672354
