# {
#     "changing_threshold": 0.1,
#     "command": "/SAN/vyplab/alb_projects/pipelines/splicing/env/bin/voila tsv /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/builder/splicegraph.sql /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/delta_psi/Control17-TDP43KD17.deltapsi.voila -f /SAN/vyplab/first_weeks/TDP_CHX_CLONES_GLIA/majiq/delta_psi_voila_tsv/Control17-TDP43KD17.psi.tsv --threshold 0.1",
#     "group_sizes": {
#         "Control17": 4,
#         "TDP43KD17": 4
#     },
#     "non_changing_threshold": 0.05,
#     "voila_version": "2.3"
# }
gene_name	gene_id	lsv_id	mean_dpsi_per_lsv_junction	probability_changing	probability_non_changing	Control17_mean_psi	TDP43KD17_mean_psi	lsv_type	num_junctions	num_exons	de_novo_junctions	seqid	strand	junctions_coords	exons_coords	ir_coords	ucsc_lsv_link
NFYA	ENSG00000001167.15	ENSG00000001167.15:s:41079029-41079164	0.1019;0.0042;-0.1065	5.218e-01;1.988e-02;5.557e-01	6.947e-02;5.814e-01;5.971e-02	0.2241;0.1950;0.5833	0.3379;0.1998;0.4688	s|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;1;0	chr6	+	41079164-41080811;41079164-41080814;41079164-41084046	41079029-41079164;41080811-41080897;41084046-41084192		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A41084192-41079029
NFYA	ENSG00000001167.15	ENSG00000001167.15:t:41084046-41084192	-0.1122;0.0220;0.0572	5.914e-01;4.705e-03;2.379e-01	5.145e-02;5.894e-01;2.006e-01	0.5947;0.0072;0.3973	0.4676;0.0573;0.4744	t|1e1.1o1|1e2.1o2|1e2.2o2	3	3	0;1;0	chr6	+	41079164-41084046;41080894-41084046;41080897-41084046	41079029-41079164;41080811-41080897;41084046-41084192		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr6%3A41084192-41079029
NIPAL3	ENSG00000001461.17	ENSG00000001461.17:t:24440172-24440240	0.0883;-0.1295;0.0175	4.482e-01;6.587e-01;2.264e-02	9.109e-02;3.652e-02;5.664e-01	0.0765;0.9047;0.0160	0.1858;0.7539;0.0546	t|1e1.1o2|1e2.1o1|1e3.1o1	3	4	1;0;0	chr1	+	24415904-24440172;24419640-24440172;24433213-24440172	24415802-24416116;24419291-24420128;24433104-24433213;24440172-24440240		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr1%3A24440240-24415802
RAD52	ENSG00000002016.18	ENSG00000002016.18:t:925450-925525	-0.1347;0.1347	5.948e-01;5.948e-01	3.738e-02;3.738e-02	0.6410;0.3590	0.4632;0.5368	t|1e1.1o1|1e2.1o1	2	3	0;0	chr12	-	925525-927145;925525-926796	925450-925525;926796-926946;927145-927263		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr12%3A927263-925450
SNX11	ENSG00000002919.15	ENSG00000002919.15:t:48111949-48112455	0.0000;-0.0107;-0.0922;0.1174	7.051e-21;1.976e-03;4.548e-01;6.155e-01	1.000e+00;6.944e-01;8.885e-02;4.232e-02	0.0008;0.0489;0.8303;0.1193	0.0008;0.0327;0.7231;0.2466	t|1e1.1o1|1e2.1o1|1e3.1o1|1e4.1o1	4	5	0;0;0;0	chr17	+	48103389-48112031;48107596-48112031;48107838-48112031;48110767-48112031	48103357-48103389;48107549-48107596;48107603-48107838;48110708-48110767;48111949-48112455		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr17%3A48112455-48103357
ICA1	ENSG00000003147.19	ENSG00000003147.19:s:8143833-8143972	0.1714;-0.1928;0.0000;0.0000	9.994e-01;1.000e+00;7.304e-21;7.304e-21	2.141e-18;1.110e-16;1.000e+00;1.000e+00	0.0057;0.9896;0.0030;0.0012	0.1955;0.7841;0.0030;0.0155	s|1e1.1o1|1e2.1o1|2e2.1o1|i	4	3	0;0;1;1	chr7	-	8142055-8143875;8141817-8143875;8141817-8143833;8142056-8143832	8141765-8141817;8141969-8142055;8143833-8143972	8142056-8143832	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A8143972-8141765
ICA1	ENSG00000003147.19	ENSG00000003147.19:s:8158331-8158652	0.0000;-0.1224;0.0000;0.1136	7.304e-21;7.140e-01;7.304e-21;6.372e-01	1.000e+00;1.647e-02;1.000e+00;1.655e-02	0.0032;0.9216;0.0004;0.0758	0.0082;0.7979;0.0002;0.1928	s|1e1.1o1|1e2.1o2|1e3.1o1|i	4	4	1;0;0;1	chr7	-	8158097-8158527;8157214-8158527;8128142-8158527;8158098-8158330	8127869-8128142;8156557-8157764;8158001-8158097;8158331-8158652	8158098-8158330	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A8158652-8127869
ICA1	ENSG00000003147.19	ENSG00000003147.19:t:8141765-8141817	-0.2095;0.0000;0.2071	1.000e+00;7.051e-21;1.000e+00	0.000e+00;1.000e+00;2.781e-20	0.9904;0.0031;0.0060	0.7745;0.0030;0.2214	t|1e1.1o2|1e1.2o2|1e2.1o1	3	3	0;1;0	chr7	-	8141817-8143875;8141817-8143833;8141817-8141969	8141765-8141817;8141969-8142055;8143833-8143972		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A8143972-8141765
ICA1	ENSG00000003147.19	ENSG00000003147.19:t:8156557-8157764	-0.1211;0.0000;0.1139	7.033e-01;7.304e-21;6.398e-01	1.494e-02;1.000e+00;1.695e-02	0.9223;0.0019;0.0759	0.8007;0.0066;0.1935	t|1e1.1o1|1e2.1o1|i	3	3	0;1;1	chr7	-	8157214-8158527;8157214-8158001;8157765-8158000	8156557-8157764;8158001-8158097;8158331-8158652	8157765-8158000	http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A8158652-8156557
ICA1	ENSG00000003147.19	ENSG00000003147.19:t:8235910-8236005	0.1375;0.0000;-0.0149;-0.0196;-0.0010;0.0000;0.0000;-0.0006;-0.0000;-0.0456;-0.0000;-0.0000	7.876e-01;7.051e-21;1.781e-02;6.628e-06;1.991e-09;7.051e-21;7.051e-21;1.731e-05;7.051e-21;2.013e-02;7.052e-21;7.051e-21	1.006e-02;1.000e+00;5.851e-01;6.191e-01;9.588e-01;1.000e+00;1.000e+00;7.078e-01;1.000e+00;4.586e-01;9.999e-01;1.000e+00	0.2964;0.0056;0.3985;0.0543;0.0352;0.0001;0.0001;0.0508;0.0098;0.1252;0.0154;0.0080	0.4349;0.0144;0.3749;0.0334;0.0079;0.0007;0.0001;0.0513;0.0020;0.0728;0.0087;0.0001	t|1e1.2o2|1e2.1o1|1e3.1o1|1e4.1o1|1e5.1o1|1e6.1o2|1e6.2o2|2e1.2o2|2e2.1o1|2e3.1o1|2e4.1o1|2e5.1o1	12	7	0;1;0;0;1;0;0;0;1;1;0;1	chr7	-	8236005-8262440;8236005-8262327;8236005-8262094;8236005-8262000;8236005-8261637;8236005-8236810;8236005-8236806;8235940-8262440;8235940-8262327;8235940-8262094;8235940-8262000;8235940-8261637	8235910-8236005;8236806-8236894;8261637-8261651;8262000-8262089;8262094-8262273;8262327-8262405;8262440-8262687		http://genome.ucsc.edu/cgi-bin/hgTracks?db=GRCh38&position=chr7%3A8262687-8235910
